experiment,modelname,twitter,MSE,RMSE,MAE,MAPE
typhoon-inflow,STGCN,(w/ twitter),15677952.69,3959.539455,1193.71983,12.19036666
typhoon-inflow,DCRNN,(w/ twitter),17237504.82,4151.807416,1222.936171,17.17483007
typhoon-inflow,GraphWaveNet,(w/ twitter),11990484.54,3462.727904,1107.578019,15.1053194
typhoon-inflow,ASTGCN,(w/ twitter),15368221.73,3920.232356,1142.734877,18.0923705
typhoon-inflow,ASTGCN (Hour),(w/ twitter),17177905.17,4144.623646,1374.099464,20.87152663
typhoon-inflow,LSTNet,(w/ twitter),41423630.06,6436.119177,2243.257043,43.48288129
typhoon-inflow,GMAN,(w/ twitter),15766369.28,3970.688766,1303.292222,16.62926208
typhoon-inflow,MTGNN,(w/ twitter),10844603.46,3293.114553,1039.499334,14.67696986
typhoon-inflow,AGCRN,(w/ twitter),12707734.19,3564.790904,1119.306543,13.29640882
typhoon-inflow,Transformer,(w/ twitter),17110544.36,4136.489376,1241.080561,16.48005363
typhoon-outflow,STGCN,(w/ twitter),19223285.65,4384.436755,1315.369009,15.00929627
typhoon-outflow,DCRNN,(w/ twitter),19937585.45,4465.152344,1287.800193,18.04214983
typhoon-outflow,GraphWaveNet,(w/ twitter),13448010.11,3667.152861,1220.376415,16.51802438
typhoon-outflow,ASTGCN,(w/ twitter),15100796.21,3885.974294,1155.418828,18.47092425
typhoon-outflow,ASTGCN (Hour),(w/ twitter),21393285.05,4625.287564,1542.62863,22.50316295
typhoon-outflow,LSTNet,(w/ twitter),35325261.42,5943.505819,2164.876821,36.85554816
typhoon-outflow,GMAN,(w/ twitter),12290781.29,3505.821058,1094.927891,12.90527963
typhoon-outflow,MTGNN,(w/ twitter),10400492.36,3224.979436,1012.087542,13.92686984
typhoon-outflow,AGCRN,(w/ twitter),11494962.14,3390.422118,1078.460482,13.63909426
typhoon-outflow,Transformer,(w/ twitter),18723998.64,4327.123599,1374.865556,18.01794544
covid-inflow,STGCN,(w/ twitter),3548844.845,1883.837797,734.9181493,11.76383089
covid-inflow,DCRNN,(w/ twitter),2540996.398,1594.050312,576.8208412,11.75551446
covid-inflow,GraphWaveNet,(w/ twitter),1559900.883,1248.959921,483.4287217,10.98344215
covid-inflow,ASTGCN,(w/ twitter),1402771.464,1184.386535,405.4984164,8.628765072
covid-inflow,ASTGCN (Hour),(w/ twitter),2687964.048,1639.501158,663.146833,14.92900884
covid-inflow,LSTNet,(w/ twitter),2451792.568,1565.820094,621.3066347,10.99731916
covid-inflow,GMAN,(w/ twitter),927074.1292,962.8468877,417.6814957,10.53501273
covid-inflow,MTGNN,(w/ twitter),1346630.675,1160.444171,449.2220168,9.105209368
covid-inflow,AGCRN,(w/ twitter),1392397.11,1179.998775,466.1489302,9.444558321
covid-inflow,Transformer,(w/ twitter),3380977.623,1838.74349,669.8532678,11.64567045
covid-outflow,STGCN,(w/ twitter),2668255.678,1633.479623,661.804977,11.22828551
covid-outflow,DCRNN,(w/ twitter),3678112.148,1917.840491,713.9518367,13.2830133
covid-outflow,GraphWaveNet,(w/ twitter),1651423.461,1285.07722,512.9277657,11.04040872
covid-outflow,ASTGCN,(w/ twitter),1375412.752,1172.779925,410.240974,8.550768207
covid-outflow,ASTGCN (Hour),(w/ twitter),2467912.475,1570.959094,685.1441821,15.68552397
covid-outflow,LSTNet,(w/ twitter),3287419.741,1813.124304,752.1110487,15.50930735
covid-outflow,GMAN,(w/ twitter),1066203.651,1032.571378,444.5709088,9.575683871
covid-outflow,MTGNN,(w/ twitter),1496374.035,1223.263682,488.0580219,10.66569236
covid-outflow,AGCRN,(w/ twitter),1209350.627,1099.704791,444.5081429,9.612572685
covid-outflow,Transformer,(w/ twitter),3183164.984,1784.142647,690.0912987,12.02218538
typhoon-inflow,STGCN,(w/o twitter),20849480.7,4566.123159,1293.56381,14.59889816
typhoon-inflow,DCRNN,(w/o twitter),17315287.89,4161.164247,1238.285672,16.72966676
typhoon-inflow,GraphWaveNet,(w/o twitter),12389973.93,3519.939478,1064.380622,14.10238018
typhoon-inflow,ASTGCN,(w/o twitter),16454935.66,4056.468372,1134.117486,14.94459706
typhoon-inflow,ASTGCN (Hour),(w/o twitter),21869953.86,4676.532247,1512.312514,22.90470809
typhoon-inflow,LSTNet,(w/o twitter),19212614.72,4383.219676,1173.038586,16.14390344
typhoon-inflow,GMAN,(w/o twitter),11134305.5,3336.810678,975.3295544,13.14219402
typhoon-inflow,MTGNN,(w/o twitter),14036463.64,3746.526877,1113.655378,16.15688281
typhoon-inflow,AGCRN,(w/o twitter),14590344.43,3819.730937,1182.131299,14.81658195
typhoon-inflow,Transformer,(w/o twitter),17110544.36,4136.489376,1241.080561,16.48005363
typhoon-outflow,STGCN,(w/o twitter),18810955.39,4337.15983,1292.176188,16.02961702
typhoon-outflow,DCRNN,(w/o twitter),16143589.68,4017.90862,1152.927217,15.65722381
typhoon-outflow,GraphWaveNet,(w/o twitter),12219549.15,3495.647172,1094.054245,15.2203236
typhoon-outflow,ASTGCN,(w/o twitter),15903014.04,3987.858328,1174.333351,16.30702976
typhoon-outflow,ASTGCN (Hour),(w/o twitter),20352364.51,4511.359497,1333.47763,21.63654643
typhoon-outflow,LSTNet,(w/o twitter),18145417.65,4259.743848,1222.867386,18.67175546
typhoon-outflow,GMAN,(w/o twitter),14600130.94,3821.011769,1077.045114,12.54572054
typhoon-outflow,MTGNN,(w/o twitter),12393264.77,3520.406905,1071.172551,15.25687946
typhoon-outflow,AGCRN,(w/o twitter),13217228.87,3635.550697,1145.127753,14.84934878
typhoon-outflow,Transformer,(w/o twitter),17340539.38,4164.197327,1334.654126,17.56616475
covid-inflow,STGCN,(w/o twitter),3498975.26,1870.5548,690.1561411,11.55977286
covid-inflow,DCRNN,(w/o twitter),2162409.782,1470.513442,469.8312207,9.505801387
covid-inflow,GraphWaveNet,(w/o twitter),1885897.064,1373.279674,521.8828226,11.88049545
covid-inflow,ASTGCN,(w/o twitter),1350914.931,1162.288661,388.5603617,8.424317273
covid-inflow,ASTGCN (Hour),(w/o twitter),2901331.484,1703.329529,736.3325304,17.8377712
covid-inflow,LSTNet,(w/o twitter),1657461.159,1287.424234,471.1404143,8.948145803
covid-inflow,GMAN,(w/o twitter),793708.3428,890.9031051,366.7624929,7.183653259
covid-inflow,MTGNN,(w/o twitter),1649984.687,1284.517297,501.3961664,9.662062376
covid-inflow,AGCRN,(w/o twitter),1670683.037,1292.549046,480.7424231,10.18771825
covid-inflow,Transformer,(w/o twitter),3419986.271,1849.320489,626.5801207,11.05406686
covid-outflow,STGCN,(w/o twitter),2604348.567,1613.79942,630.0760476,10.42496637
covid-outflow,DCRNN,(w/o twitter),3384500.686,1839.701249,573.4091151,11.04249389
covid-outflow,GraphWaveNet,(w/o twitter),1758506.539,1326.086927,531.7924854,11.08110474
covid-outflow,ASTGCN,(w/o twitter),1252631.998,1119.210435,393.3395672,8.320580977
covid-outflow,ASTGCN (Hour),(w/o twitter),2617366.702,1617.827773,732.0971305,18.19902988
covid-outflow,LSTNet,(w/o twitter),1842757.008,1357.481863,518.2741584,11.50773615
covid-outflow,GMAN,(w/o twitter),893230.7348,945.1088481,408.1477635,7.585111851
covid-outflow,MTGNN,(w/o twitter),1646585.202,1283.193361,513.228661,9.995475407
covid-outflow,AGCRN,(w/o twitter),1328211.943,1152.480778,458.3720612,9.928684687
covid-outflow,Transformer,(w/o twitter),2979547.603,1726.136612,628.6445032,11.74427655
